,OutcomeType,Age,Size,HasName,TimeofDay,WeekDay,IsIntact,Sex,PureMixedHybrid,Group,IsMixColor
5087,Return to Owner,1,0,Yes,lateday,Friday,No,Male,Pure,Toy,Yes
3718,Adoption,1,2,Yes,lateday,Saturday,No,Female,Mixed,Herding,Yes
28662,Return to Owner,0,0,Yes,morning,Wednesday,Yes,Female,Mixed,Toy,Yes
28789,Return to Owner,1,0,Yes,lateday,Monday,No,Male,Pure,Toy,Yes
1716,Transfer,1,1,Yes,lateday,Friday,No,Female,Hybrid,Sporting,No
6699,Adoption,0,0,Yes,lateday,Saturday,No,Male,Mixed,Toy,No
25182,Return to Owner,0,0,Yes,midday,Thursday,No,Male,Mixed,Toy,Yes
31021,Return to Owner,0,1,No,lateday,Monday,Yes,Female,Mixed,Sporting,No
9059,Adoption,0,2,No,lateday,Sunday,No,Female,Mixed,Herding,Yes
33077,Adoption,0,0,No,lateday,Wednesday,No,Female,Mixed,Terrier,No
28698,Adoption,1,1,Yes,midday,Thursday,No,Male,Mixed,PitBull,Yes
5917,Adoption,1,0,Yes,midday,Saturday,No,Female,Mixed,Toy,No
27327,Adoption,0,0,Yes,midday,Saturday,Yes,Female,Mixed,Terrier,No
1735,Return to Owner,2,1,Yes,midday,Saturday,No,Female,Hybrid,Herding,Yes
1678,Adoption,0,1,Yes,morning,Thursday,No,Male,Mixed,NonSporting,Yes
10742,Adoption,0,1,Yes,lateday,Wednesday,No,Female,Mixed,Herding,Yes
8475,Return to Owner,2,1,Yes,lateday,Tuesday,No,Male,Hybrid,Sporting,Yes
2869,Return to Owner,2,1,Yes,midday,Tuesday,No,Male,Mixed,Sporting,No
21444,Adoption,1,0,Yes,midday,Sunday,No,Female,Mixed,Toy,Yes
14744,Adoption,0,0,Yes,midday,Monday,No,Male,Hybrid,Toy,Yes
26945,Return to Owner,0,0,Yes,lateday,Sunday,No,Female,Mixed,Terrier,Yes
24402,Adoption,1,0,Yes,lateday,Thursday,No,Male,Mixed,Toy,No
16230,Euthanasia,0,1,Yes,lateday,Monday,Yes,Male,Mixed,PitBull,Yes
2289,Transfer,0,1,No,lateday,Friday,No,Female,Mixed,Working,Yes
15613,Transfer,0,2,Yes,midday,Sunday,Yes,Male,Mixed,Herding,No
13936,Transfer,1,0,Yes,midday,Tuesday,No,Male,Mixed,Toy,Yes
33166,Transfer,0,0,Yes,morning,Saturday,Yes,Female,Mixed,Hound,Yes
30466,Transfer,0,1,No,lateday,Monday,Yes,Female,Mixed,PitBull,No
30993,Transfer,1,1,No,midday,Sunday,Yes,Female,Mixed,NonSporting,No
32717,Adoption,0,0,Yes,lateday,Thursday,No,Female,Mixed,Terrier,No
26325,Return to Owner,0,1,Yes,lateday,Friday,No,Male,Mixed,Terrier,Yes
12401,Transfer,1,1,Yes,lateday,Thursday,No,Female,Mixed,PitBull,No
9234,Transfer,0,3,Yes,night,Sunday,No,Female,Mixed,Working,No
29946,Return to Owner,1,0,Yes,lateday,Wednesday,Yes,Female,Mixed,Toy,Yes
33113,Adoption,1,1,Yes,lateday,Thursday,No,Male,Mixed,PitBull,Yes
32363,Adoption,0,1,Yes,night,Saturday,No,Male,Mixed,Sporting,Yes
16653,Return to Owner,1,1,Yes,midday,Monday,No,Male,Mixed,NonSporting,Yes
13734,Adoption,0,2,Yes,midday,Monday,No,Female,Hybrid,Herding,No
30973,Adoption,0,0,Yes,lateday,Saturday,No,Female,Mixed,Terrier,Yes
29594,Adoption,1,0,Yes,lateday,Wednesday,No,Female,Mixed,Terrier,No
12060,Adoption,0,2,Yes,lateday,Sunday,No,Female,Mixed,Hound,Yes
8518,Transfer,0,1,No,lateday,Wednesday,Yes,Male,Mixed,NonSporting,Yes
2601,Euthanasia,1,1,Yes,midday,Monday,No,Female,Mixed,PitBull,No
3960,Adoption,0,1,Yes,night,Monday,No,Female,Mixed,Terrier,Yes
7501,Return to Owner,1,0,Yes,midday,Friday,No,Female,Mixed,Toy,No
332,Transfer,1,2,Yes,lateday,Saturday,No,Female,Pure,Sporting,No
10566,Transfer,1,0,Yes,midday,Wednesday,Yes,Male,Pure,Toy,Yes
25805,Adoption,1,1,Yes,midday,Saturday,No,Male,Mixed,Herding,No
13279,Transfer,1,1,Yes,midday,Friday,No,Female,Hybrid,Herding,No
29492,Transfer,0,3,No,lateday,Saturday,Yes,Female,Mixed,Working,No
31450,Adoption,1,1,Yes,midday,Thursday,No,Female,Hybrid,Hound,Yes
13189,Adoption,1,2,Yes,midday,Tuesday,No,Male,Mixed,Unknown,No
31931,Transfer,1,0,No,night,Thursday,No,Female,Mixed,Toy,No
957,Transfer,1,0,Yes,midday,Friday,No,Male,Mixed,Toy,Yes
18968,Return to Owner,1,1,Yes,lateday,Thursday,No,Male,Hybrid,Herding,Yes
7192,Return to Owner,1,0,Yes,lateday,Monday,Yes,Male,Pure,Toy,No
10379,Adoption,0,0,Yes,lateday,Wednesday,No,Female,Mixed,Toy,Yes
28430,Adoption,0,0,Yes,lateday,Sunday,No,Female,Mixed,Toy,No
11828,Euthanasia,0,0,No,midday,Saturday,Yes,Female,Mixed,Toy,No
21047,Return to Owner,1,1,Yes,lateday,Saturday,No,Male,Mixed,PitBull,Yes
13016,Transfer,1,0,No,midday,Tuesday,No,Female,Mixed,Terrier,Yes
24896,Adoption,0,0,Yes,lateday,Monday,No,Female,Mixed,Toy,Yes
27250,Return to Owner,0,0,Yes,lateday,Wednesday,No,Female,Mixed,Toy,No
9129,Adoption,0,0,Yes,midday,Wednesday,No,Male,Mixed,Terrier,No
