,OutcomeType,Age,Size,HasName,TimeofDay,WeekDay,IsIntact,Sex,PureMixedHybrid,Group,IsMixColor
10435,Return to Owner,2,2,Yes,midday,Saturday,Yes,Male,Hybrid,Herding,Yes
17290,Adoption,2,2,Yes,lateday,Sunday,No,Female,Mixed,Herding,Yes
20132,Adoption,2,1,Yes,lateday,Saturday,No,Female,Hybrid,Sporting,Yes
29246,Return to Owner,2,1,Yes,midday,Wednesday,No,Male,Mixed,Herding,Yes
4930,Transfer,1,1,Yes,lateday,Saturday,No,Male,Mixed,PitBull,Yes
17613,Adoption,0,1,Yes,lateday,Monday,No,Male,Mixed,PitBull,Yes
17798,Return to Owner,0,0,Yes,lateday,Sunday,No,Male,Mixed,Toy,Yes
3624,Transfer,0,1,Yes,midday,Tuesday,Yes,Female,Mixed,Herding,Yes
25354,Adoption,0,2,Yes,midday,Wednesday,No,Female,Mixed,Herding,Yes
23697,Adoption,2,3,Yes,lateday,Saturday,No,Female,Hybrid,Hound,No
12634,Adoption,0,1,Yes,morning,Wednesday,No,Female,Mixed,Working,Yes
17012,Return to Owner,1,1,Yes,midday,Saturday,No,Female,Mixed,Sporting,No
32609,Adoption,0,1,Yes,lateday,Sunday,No,Female,Mixed,PitBull,Yes
19181,Return to Owner,1,1,Yes,lateday,Friday,No,Male,Mixed,PitBull,Yes
28577,Adoption,1,0,Yes,lateday,Sunday,No,Male,Mixed,Terrier,Yes
13467,Return to Owner,1,1,Yes,lateday,Thursday,No,Male,Pure,Working,Yes
32180,Adoption,1,0,Yes,night,Friday,No,Male,Mixed,Hound,Yes
22271,Return to Owner,0,1,Yes,lateday,Monday,No,Male,Mixed,Hound,Yes
9155,Adoption,0,1,Yes,lateday,Wednesday,No,Male,Mixed,Herding,No
13210,Return to Owner,0,0,Yes,lateday,Tuesday,No,Male,Mixed,Toy,Yes
12705,Return to Owner,1,1,Yes,midday,Friday,No,Female,Mixed,Herding,No
14222,Return to Owner,0,1,Yes,midday,Friday,No,Male,Mixed,Terrier,Yes
25964,Return to Owner,1,0,Yes,midday,Friday,No,Male,Pure,NonSporting,Yes
6926,Transfer,0,2,No,lateday,Saturday,Yes,Male,Pure,Herding,No
1532,Adoption,1,1,Yes,lateday,Friday,No,Male,Mixed,Sporting,No
28617,Transfer,0,1,Yes,night,Tuesday,Yes,Male,Mixed,NonSporting,No
25278,Return to Owner,1,1,Yes,lateday,Sunday,No,Female,Mixed,PitBull,No
14795,Return to Owner,0,0,No,lateday,Wednesday,No,Male,Mixed,Toy,Yes
21076,Adoption,1,0,Yes,midday,Monday,No,Female,Mixed,Terrier,No
3495,Return to Owner,1,1,Yes,midday,Friday,No,Male,Mixed,PitBull,Yes
29572,Return to Owner,1,0,Yes,lateday,Tuesday,No,Male,Hybrid,Hound,No
31150,Adoption,1,1,Yes,midday,Saturday,No,Male,Mixed,PitBull,Yes
14071,Return to Owner,1,1,Yes,midday,Sunday,No,Female,Mixed,Unknown,Yes
16226,Return to Owner,2,0,Yes,lateday,Monday,No,Male,Pure,Terrier,Yes
17212,Adoption,0,1,Yes,lateday,Friday,No,Female,Hybrid,Herding,Yes
24583,Adoption,0,1,Yes,midday,Friday,No,Female,Mixed,Sporting,No
16879,Adoption,0,0,Yes,lateday,Monday,No,Female,Mixed,Terrier,Yes
18329,Transfer,1,1,Yes,midday,Thursday,No,Female,Hybrid,Herding,Yes
15101,Return to Owner,0,1,Yes,lateday,Tuesday,No,Female,Mixed,PitBull,Yes
2584,Return to Owner,1,0,Yes,lateday,Sunday,No,Male,Pure,Hound,Yes
31801,Adoption,0,0,No,lateday,Friday,No,Female,Mixed,Toy,Yes
6035,Return to Owner,1,1,Yes,midday,Thursday,No,Female,Mixed,Sporting,Yes
29530,Return to Owner,2,1,Yes,midday,Monday,No,Female,Mixed,PitBull,Yes
24262,Adoption,1,1,Yes,lateday,Friday,No,Male,Mixed,Terrier,Yes
11870,Return to Owner,0,1,Yes,lateday,Sunday,No,Male,Pure,NonSporting,Yes
17418,Transfer,1,1,No,midday,Wednesday,Yes,Female,Mixed,Herding,No
1651,Transfer,0,2,Yes,midday,Wednesday,Yes,Male,Hybrid,Herding,Yes
32382,Adoption,2,1,Yes,midday,Saturday,No,Female,Hybrid,NonSporting,No
28512,Adoption,0,2,Yes,lateday,Wednesday,No,Male,Mixed,Hound,Yes
33090,Transfer,0,0,Yes,midday,Thursday,No,Female,Mixed,Toy,No
21651,Euthanasia,2,1,No,lateday,Monday,Yes,Female,Mixed,NonSporting,No
12350,Return to Owner,0,1,Yes,lateday,Wednesday,No,Male,Mixed,Working,Yes
33150,Adoption,2,1,Yes,midday,Saturday,No,Male,Pure,PitBull,Yes
18259,Return to Owner,1,0,Yes,lateday,Tuesday,Yes,Female,Mixed,Toy,Yes
28093,Return to Owner,2,1,Yes,lateday,Tuesday,No,Female,Hybrid,Herding,Yes
23472,Transfer,1,0,Yes,midday,Friday,No,Female,Mixed,Hound,Yes
12236,Adoption,0,0,Yes,lateday,Saturday,No,Female,Mixed,Toy,No
16567,Return to Owner,1,1,Yes,lateday,Saturday,No,Female,Mixed,PitBull,Yes
6173,Adoption,0,0,Yes,lateday,Monday,No,Female,Mixed,Terrier,No
30628,Return to Owner,2,0,Yes,midday,Monday,No,Female,Hybrid,Hound,Yes
18452,Transfer,2,0,Yes,night,Monday,No,Male,Mixed,Toy,Yes
11945,Euthanasia,2,0,No,midday,Thursday,Yes,Female,Mixed,Hound,No
2909,Adoption,0,1,No,lateday,Wednesday,No,Female,Hybrid,Herding,Yes
16170,Adoption,0,1,No,lateday,Saturday,No,Male,Mixed,Herding,Yes
16789,Adoption,2,0,No,lateday,Friday,No,Male,Mixed,Toy,Yes
25974,Return to Owner,0,3,Yes,lateday,Friday,No,Male,Mixed,Working,No
25873,Transfer,0,0,Yes,night,Monday,Yes,Female,Mixed,Terrier,Yes
5565,Transfer,1,1,Yes,midday,Monday,No,Male,Mixed,NonSporting,No
15060,Adoption,1,1,Yes,lateday,Sunday,No,Male,Mixed,Herding,Yes
537,Transfer,0,1,No,lateday,Thursday,No,Male,Mixed,Herding,Yes
27273,Transfer,0,0,Yes,midday,Thursday,Yes,Female,Mixed,Toy,Yes
4396,Adoption,2,0,Yes,lateday,Wednesday,No,Male,Mixed,Terrier,Yes
14608,Transfer,0,1,Yes,midday,Thursday,No,Male,Mixed,Sporting,No
18698,Return to Owner,1,0,Yes,lateday,Monday,No,Male,Mixed,Terrier,No
9386,Return to Owner,1,1,Yes,midday,Thursday,No,Female,Mixed,Hound,Yes
3837,Return to Owner,1,1,Yes,lateday,Thursday,No,Female,Mixed,PitBull,Yes
16264,Return to Owner,1,1,Yes,lateday,Tuesday,Yes,Female,Hybrid,Working,Yes
22462,Adoption,0,0,Yes,lateday,Monday,No,Male,Mixed,Terrier,Yes
30384,Return to Owner,0,2,Yes,lateday,Friday,Yes,Male,Mixed,Herding,Yes
9903,Adoption,0,1,Yes,midday,Monday,No,Male,Mixed,Sporting,Yes
11059,Adoption,0,1,Yes,midday,Sunday,No,Male,Hybrid,Herding,Yes
22393,Adoption,1,1,Yes,midday,Saturday,No,Female,Mixed,Terrier,Yes
10510,Transfer,0,1,No,midday,Monday,Yes,Female,Hybrid,PitBull,Yes
15099,Adoption,0,0,No,lateday,Tuesday,No,Male,Mixed,Hound,No
7088,Adoption,0,0,Yes,lateday,Thursday,No,Female,Mixed,Terrier,No
14343,Adoption,1,0,Yes,lateday,Monday,No,Female,Mixed,Toy,Yes
10405,Transfer,1,1,Yes,midday,Friday,No,Male,Mixed,PitBull,Yes
19626,Adoption,0,1,Yes,lateday,Monday,No,Male,Mixed,PitBull,Yes
12434,Transfer,1,1,Yes,lateday,Friday,No,Female,Mixed,PitBull,Yes
515,Transfer,0,1,No,lateday,Wednesday,Yes,Male,Mixed,Working,Yes
26629,Return to Owner,2,0,Yes,lateday,Tuesday,No,Male,Mixed,Toy,No
182,Transfer,1,1,Yes,midday,Monday,Yes,Female,Mixed,Sporting,No
10201,Transfer,0,1,Yes,night,Friday,No,Female,Mixed,PitBull,Yes
30608,Adoption,0,1,No,lateday,Sunday,No,Male,Mixed,Sporting,Yes
27588,Return to Owner,1,2,Yes,midday,Saturday,No,Male,Pure,Sporting,No
25675,Adoption,0,1,Yes,lateday,Monday,No,Male,Mixed,Herding,No
17412,Adoption,2,2,Yes,midday,Wednesday,No,Female,Mixed,Herding,Yes
6359,Return to Owner,0,0,Yes,midday,Tuesday,No,Male,Hybrid,Hound,Yes
16013,Transfer,0,3,Yes,midday,Sunday,No,Male,Hybrid,Working,No
24136,Adoption,1,2,Yes,lateday,Sunday,No,Male,Hybrid,Herding,Yes
2390,Adoption,1,1,Yes,night,Monday,No,Female,Hybrid,PitBull,Yes
24452,Return to Owner,1,1,Yes,lateday,Saturday,No,Male,Mixed,Sporting,No
2343,Adoption,0,0,Yes,lateday,Saturday,No,Male,Hybrid,Terrier,No
270,Transfer,2,0,Yes,lateday,Thursday,Yes,Female,Mixed,Toy,No
31460,Return to Owner,0,1,Yes,lateday,Thursday,No,Female,Mixed,PitBull,Yes
3975,Return to Owner,1,1,Yes,lateday,Monday,No,Male,Mixed,PitBull,Yes
33138,Adoption,0,1,Yes,night,Friday,No,Female,Mixed,PitBull,Yes
23670,Return to Owner,1,1,Yes,midday,Friday,Yes,Male,Mixed,PitBull,Yes
4937,Return to Owner,2,1,Yes,night,Sunday,No,Male,Mixed,Herding,Yes
3227,Adoption,1,0,Yes,midday,Monday,No,Female,Mixed,Toy,Yes
416,Transfer,0,0,No,midday,Monday,Yes,Male,Mixed,Toy,No
19450,Adoption,1,0,Yes,midday,Monday,No,Female,Pure,Toy,No
2266,Adoption,0,2,Yes,lateday,Thursday,No,Female,Hybrid,Working,No
24588,Adoption,1,0,Yes,lateday,Friday,No,Male,Mixed,Toy,No
21898,Transfer,2,1,Yes,night,Wednesday,No,Female,Mixed,Herding,Yes
29616,Adoption,0,1,Yes,lateday,Thursday,No,Female,Mixed,Herding,Yes
29533,Return to Owner,1,1,Yes,midday,Monday,No,Female,Mixed,PitBull,Yes
436,Return to Owner,1,1,Yes,lateday,Monday,No,Female,Mixed,PitBull,Yes
11159,Euthanasia,1,0,No,lateday,Wednesday,Yes,Female,Mixed,Toy,No
24630,Adoption,0,1,Yes,lateday,Saturday,No,Female,Mixed,Sporting,Yes
9484,Adoption,1,0,Yes,night,Monday,No,Male,Hybrid,Toy,Yes
2144,Adoption,1,0,Yes,night,Sunday,No,Male,Mixed,Toy,Yes
7218,Transfer,0,3,No,midday,Tuesday,Yes,Male,Hybrid,Working,No
10230,Transfer,0,1,No,midday,Saturday,No,Male,Mixed,Herding,Yes
19244,Adoption,2,1,Yes,lateday,Sunday,No,Female,Mixed,Sporting,Yes
12450,Adoption,0,1,Yes,lateday,Friday,No,Male,Mixed,Sporting,No
24890,Transfer,1,1,Yes,midday,Monday,No,Female,Pure,Sporting,Yes
24158,Transfer,0,1,Yes,midday,Monday,No,Male,Pure,Working,Yes
11477,Return to Owner,1,1,Yes,midday,Monday,Yes,Male,Hybrid,NonSporting,No
4665,Adoption,1,0,Yes,midday,Friday,No,Male,Mixed,Terrier,No
1612,Return to Owner,0,0,Yes,lateday,Monday,No,Female,Mixed,Terrier,No
21784,Adoption,0,1,Yes,lateday,Saturday,No,Female,Mixed,Working,Yes
16962,Adoption,1,0,Yes,lateday,Thursday,No,Male,Mixed,NonSporting,Yes
14367,Adoption,0,1,Yes,lateday,Tuesday,No,Male,Mixed,Sporting,No
10644,Transfer,1,1,Yes,lateday,Saturday,No,Male,Mixed,PitBull,No
31354,Adoption,0,0,No,lateday,Sunday,No,Male,Mixed,Hound,No
20785,Transfer,0,2,Yes,midday,Monday,No,Female,Mixed,Herding,No
19959,Return to Owner,2,0,Yes,lateday,Monday,No,Male,Mixed,Terrier,No
4433,Transfer,0,1,No,midday,Friday,Yes,Female,Mixed,PitBull,Yes
1233,Return to Owner,1,2,Yes,midday,Sunday,No,Male,Mixed,Sporting,No
2994,Adoption,1,0,Yes,lateday,Saturday,No,Female,Mixed,Toy,Yes
25302,Transfer,1,1,Yes,midday,Monday,No,Male,Hybrid,Sporting,No
5754,Transfer,0,1,No,midday,Sunday,Yes,Male,Mixed,NonSporting,No
11425,Return to Owner,0,1,Yes,midday,Saturday,Yes,Male,Pure,NonSporting,Yes
5673,Euthanasia,1,3,Yes,lateday,Thursday,Yes,Male,Hybrid,Working,Yes
6292,Adoption,0,1,Yes,lateday,Saturday,No,Male,Hybrid,NonSporting,No
28689,Return to Owner,1,1,Yes,midday,Thursday,Yes,Male,Mixed,PitBull,Yes
6508,Transfer,0,0,No,lateday,Saturday,Yes,Female,Mixed,Toy,Yes
10675,Adoption,0,2,Yes,lateday,Sunday,No,Male,Mixed,Sporting,No
32638,Adoption,1,1,Yes,lateday,Monday,No,Male,Hybrid,Sporting,No
23006,Return to Owner,2,0,Yes,midday,Tuesday,No,Male,Mixed,Toy,No
26434,Transfer,2,1,Yes,lateday,Monday,No,Female,Mixed,PitBull,No
28098,Return to Owner,1,1,Yes,midday,Wednesday,Yes,Male,Hybrid,Herding,Yes
6059,Adoption,0,0,Yes,lateday,Thursday,No,Female,Mixed,Toy,No
7016,Adoption,1,0,Yes,midday,Tuesday,No,Female,Hybrid,Toy,No
24000,Return to Owner,1,1,Yes,lateday,Tuesday,No,Male,Mixed,Herding,No
29574,Adoption,0,1,Yes,lateday,Tuesday,No,Female,Pure,Herding,Yes
11015,Return to Owner,1,1,Yes,midday,Saturday,No,Male,Hybrid,Herding,No
5797,Adoption,2,0,Yes,lateday,Monday,No,Female,Mixed,Toy,Yes
9786,Transfer,1,0,No,lateday,Thursday,No,Male,Mixed,Hound,Yes
19883,Adoption,0,0,Yes,lateday,Thursday,Yes,Female,Mixed,Toy,No
24405,Adoption,1,1,Yes,morning,Friday,No,Female,Hybrid,Sporting,Yes
28494,Return to Owner,1,1,Yes,midday,Wednesday,Yes,Male,Hybrid,Sporting,Yes
30802,Return to Owner,1,2,Yes,midday,Sunday,No,Male,Mixed,Herding,Yes
3814,Adoption,0,0,Yes,midday,Wednesday,No,Female,Mixed,NonSporting,No
21332,Transfer,0,1,Yes,midday,Tuesday,No,Female,Mixed,NonSporting,No
17288,Return to Owner,1,0,Yes,lateday,Sunday,No,Male,Mixed,Terrier,Yes
30015,Transfer,1,1,Yes,lateday,Friday,No,Female,Mixed,Herding,Yes
31002,Adoption,0,1,Yes,lateday,Sunday,No,Male,Mixed,Working,Yes
12643,Transfer,0,1,Yes,midday,Wednesday,Yes,Female,Mixed,Sporting,Yes
3224,Return to Owner,0,1,Yes,midday,Monday,No,Female,Hybrid,Sporting,Yes
29555,Transfer,1,0,Yes,night,Tuesday,No,Female,Mixed,Terrier,No
3839,Adoption,2,1,Yes,lateday,Thursday,No,Female,Pure,Herding,Yes
21806,Return to Owner,2,1,Yes,midday,Sunday,No,Male,Mixed,Herding,Yes
30518,Return to Owner,1,1,Yes,lateday,Tuesday,No,Male,Hybrid,PitBull,No
15155,Adoption,1,1,Yes,night,Friday,No,Male,Hybrid,NonSporting,Yes
15799,Adoption,1,1,Yes,midday,Saturday,No,Female,Hybrid,PitBull,Yes
10370,Transfer,1,0,Yes,midday,Wednesday,Yes,Female,Mixed,Toy,Yes
7337,Return to Owner,1,1,Yes,midday,Sunday,No,Male,Mixed,Herding,Yes
24152,Transfer,2,0,Yes,midday,Monday,No,Male,Mixed,Toy,No
25503,Euthanasia,1,1,Yes,morning,Tuesday,No,Female,Mixed,PitBull,No
27610,Adoption,1,1,Yes,lateday,Saturday,No,Male,Mixed,Working,Yes
7577,Return to Owner,2,1,Yes,midday,Monday,No,Male,Mixed,Working,No
765,Return to Owner,1,1,Yes,lateday,Friday,No,Male,Hybrid,Herding,Yes
27106,Transfer,2,0,Yes,midday,Saturday,No,Female,Hybrid,Toy,No
32813,Adoption,0,1,Yes,lateday,Sunday,No,Female,Hybrid,Herding,Yes
25673,Transfer,0,1,Yes,midday,Monday,No,Male,Mixed,Sporting,No
13789,Adoption,0,1,Yes,night,Wednesday,No,Male,Hybrid,NonSporting,Yes
6460,Transfer,1,0,No,midday,Friday,No,Female,Mixed,Toy,Yes
27452,Adoption,0,1,No,night,Tuesday,No,Female,Pure,PitBull,Yes
1045,Adoption,1,0,Yes,lateday,Sunday,No,Male,Mixed,Terrier,No
8373,Return to Owner,1,1,Yes,midday,Saturday,No,Female,Mixed,Herding,No
13849,Return to Owner,1,0,Yes,midday,Friday,No,Male,Mixed,Toy,No
9275,Adoption,1,0,No,lateday,Monday,No,Male,Mixed,Terrier,No
28807,Adoption,0,0,Yes,midday,Tuesday,No,Male,Mixed,Toy,Yes
17016,Transfer,0,1,Yes,midday,Saturday,Yes,Male,Mixed,PitBull,No
24025,Adoption,0,2,Yes,lateday,Wednesday,No,Male,Mixed,Sporting,Yes
17856,Return to Owner,1,0,Yes,lateday,Tuesday,No,Female,Mixed,Toy,Yes
23675,Return to Owner,0,1,Yes,lateday,Friday,No,Female,Mixed,Working,Yes
13559,Transfer,1,1,Yes,midday,Monday,No,Male,Mixed,PitBull,No
16648,Adoption,0,1,Yes,lateday,Sunday,No,Male,Hybrid,Sporting,Yes
25943,Return to Owner,1,2,Yes,lateday,Wednesday,No,Male,Hybrid,Sporting,No
25115,Transfer,1,1,Yes,midday,Tuesday,No,Female,Mixed,PitBull,Yes
24038,Transfer,1,1,Yes,midday,Thursday,No,Female,Mixed,Unknown,Yes
5524,Transfer,1,3,Yes,lateday,Saturday,No,Female,Hybrid,Working,No
20989,Adoption,0,0,No,night,Wednesday,No,Female,Mixed,Toy,No
2366,Return to Owner,1,1,Yes,midday,Sunday,No,Male,Mixed,Sporting,Yes
24625,Adoption,0,1,Yes,lateday,Saturday,No,Female,Mixed,Sporting,Yes
4403,Transfer,0,0,Yes,lateday,Wednesday,Yes,Male,Mixed,Toy,Yes
8098,Transfer,2,1,No,morning,Thursday,No,Female,Mixed,Sporting,Yes
7023,Transfer,0,0,No,midday,Tuesday,No,Male,Mixed,Toy,Yes
8361,Adoption,1,1,Yes,lateday,Friday,No,Male,Hybrid,Hound,Yes
21040,Transfer,0,1,Yes,midday,Saturday,No,Male,Mixed,Herding,No
15267,Return to Owner,1,1,Yes,midday,Monday,No,Male,Mixed,PitBull,Yes
20635,Transfer,0,1,Yes,morning,Thursday,No,Male,Mixed,Sporting,Yes
460,Transfer,1,0,No,midday,Tuesday,Yes,Female,Hybrid,Terrier,No
2019,Adoption,1,0,Yes,lateday,Tuesday,No,Male,Mixed,Terrier,No
24105,Adoption,0,0,Yes,lateday,Saturday,No,Male,Mixed,Hound,Yes
30589,Adoption,1,0,Yes,lateday,Saturday,No,Female,Mixed,Toy,No
28561,Adoption,0,0,No,lateday,Saturday,No,Female,Hybrid,Hound,Yes
32956,Return to Owner,1,2,Yes,midday,Saturday,No,Male,Mixed,Working,Yes
18545,Return to Owner,1,1,Yes,lateday,Wednesday,No,Female,Mixed,PitBull,Yes
12232,Adoption,0,1,Yes,lateday,Saturday,No,Female,Mixed,Herding,Yes
20575,Euthanasia,2,1,Yes,midday,Monday,No,Male,Hybrid,Herding,No
12894,Transfer,1,0,No,midday,Friday,No,Male,Mixed,Toy,Yes
15735,Transfer,0,1,No,lateday,Thursday,Yes,Male,Hybrid,Herding,No
33015,Adoption,1,1,Yes,midday,Monday,No,Male,Mixed,PitBull,Yes
16051,Return to Owner,0,2,Yes,midday,Monday,No,Female,Mixed,Hound,No
20626,Return to Owner,1,1,Yes,lateday,Wednesday,No,Male,Mixed,NonSporting,No
25228,Return to Owner,2,3,Yes,midday,Saturday,No,Male,Mixed,Working,Yes
8228,Return to Owner,1,1,Yes,night,Monday,No,Male,Mixed,Terrier,Yes
1386,Transfer,1,1,Yes,midday,Saturday,No,Male,Mixed,Herding,Yes
24748,Adoption,0,1,Yes,lateday,Tuesday,Yes,Female,Mixed,PitBull,Yes
24200,Return to Owner,2,0,Yes,lateday,Tuesday,No,Male,Mixed,NonSporting,No
25222,Return to Owner,1,0,Yes,lateday,Friday,Yes,Female,Mixed,Toy,Yes
24581,Return to Owner,1,0,Yes,midday,Friday,No,Female,Hybrid,Toy,Yes
27568,Adoption,0,1,Yes,lateday,Friday,No,Female,Mixed,Herding,Yes
198,Adoption,1,1,Yes,lateday,Monday,No,Female,Mixed,Herding,Yes
21672,Return to Owner,1,1,Yes,midday,Tuesday,No,Male,Mixed,PitBull,Yes
18554,Transfer,1,2,Yes,morning,Thursday,No,Male,Mixed,Herding,Yes
370,Transfer,1,1,Yes,midday,Sunday,No,Female,Mixed,NonSporting,No
895,Transfer,1,1,Yes,midday,Wednesday,No,Male,Hybrid,Herding,No
5500,Return to Owner,0,1,Yes,lateday,Friday,No,Female,Mixed,Working,No
17571,Transfer,1,3,Yes,midday,Sunday,Yes,Female,Pure,Working,No
13494,Adoption,0,1,Yes,lateday,Friday,No,Female,Hybrid,Hound,Yes
21838,Transfer,1,2,Yes,night,Monday,No,Male,Hybrid,Herding,Yes
32629,Adoption,1,1,Yes,midday,Monday,No,Female,Mixed,Working,Yes
21974,Transfer,1,0,Yes,midday,Friday,Yes,Male,Mixed,Hound,No
22606,Return to Owner,0,2,Yes,night,Sunday,Yes,Male,Pure,Herding,Yes
31858,Adoption,0,0,Yes,lateday,Sunday,No,Female,Mixed,Toy,No
1153,Return to Owner,0,1,Yes,lateday,Thursday,No,Male,Hybrid,Working,Yes
23049,Adoption,0,2,Yes,lateday,Wednesday,No,Male,Hybrid,Working,Yes
13215,Adoption,0,1,Yes,morning,Wednesday,No,Male,Mixed,Terrier,Yes
1077,Transfer,0,0,Yes,lateday,Monday,No,Male,Hybrid,Terrier,No
22892,Return to Owner,1,0,Yes,lateday,Thursday,No,Female,Hybrid,Toy,No
4383,Adoption,0,1,Yes,lateday,Tuesday,No,Female,Mixed,Herding,Yes
13723,Adoption,0,1,Yes,night,Monday,No,Female,Mixed,Herding,No
32017,Adoption,0,1,Yes,midday,Sunday,No,Female,Mixed,Herding,Yes
283,Transfer,0,1,Yes,midday,Friday,No,Female,Mixed,PitBull,Yes
7877,Return to Owner,0,1,Yes,midday,Thursday,No,Male,Mixed,PitBull,Yes
29166,Adoption,0,3,Yes,lateday,Sunday,No,Female,Mixed,Working,Yes
16523,Euthanasia,1,1,Yes,midday,Friday,No,Male,Mixed,PitBull,Yes
10144,Return to Owner,0,1,Yes,midday,Tuesday,Yes,Male,Mixed,NonSporting,Yes
4616,Transfer,0,1,No,midday,Thursday,Yes,Male,Mixed,PitBull,No
1669,Adoption,0,1,No,lateday,Wednesday,No,Female,Mixed,Hound,Yes
19594,Transfer,1,1,Yes,midday,Sunday,No,Male,Mixed,PitBull,Yes
14521,Adoption,2,0,Yes,lateday,Sunday,No,Female,Mixed,Toy,Yes
20681,Adoption,0,1,Yes,night,Friday,No,Female,Hybrid,Sporting,Yes
14974,Adoption,1,2,Yes,lateday,Wednesday,No,Male,Mixed,Herding,Yes
33137,Transfer,0,1,No,lateday,Friday,Yes,Male,Mixed,PitBull,Yes
13794,Return to Owner,0,1,Yes,midday,Wednesday,Yes,Female,Mixed,NonSporting,Yes
4094,Transfer,0,0,No,midday,Saturday,Yes,Female,Hybrid,Toy,Yes
11943,Adoption,0,1,No,night,Thursday,No,Male,Mixed,Sporting,Yes
8181,Transfer,1,1,Yes,midday,Saturday,No,Male,Mixed,PitBull,Yes
29817,Transfer,0,0,No,lateday,Friday,No,Male,Mixed,Terrier,Yes
6022,Adoption,0,0,No,lateday,Wednesday,No,Male,Mixed,Toy,Yes
192,Return to Owner,1,1,Yes,lateday,Monday,No,Female,Mixed,NonSporting,No
1238,Adoption,1,0,Yes,lateday,Sunday,No,Male,Mixed,Toy,Yes
15777,Adoption,1,1,Yes,lateday,Friday,No,Female,Mixed,Sporting,No
28462,Adoption,0,2,Yes,midday,Tuesday,No,Female,Mixed,Herding,Yes
15736,Transfer,0,1,No,lateday,Thursday,Yes,Male,Hybrid,Herding,No
13290,Return to Owner,0,1,Yes,lateday,Friday,No,Female,Mixed,NonSporting,Yes
31700,Adoption,1,1,Yes,lateday,Monday,No,Female,Mixed,Herding,Yes
5509,Transfer,0,1,Yes,lateday,Friday,Yes,Female,Hybrid,PitBull,Yes
18191,Adoption,0,1,Yes,lateday,Sunday,No,Female,Mixed,Working,No
799,Return to Owner,0,1,Yes,night,Sunday,No,Female,Mixed,Hound,Yes
12896,Adoption,0,1,No,night,Friday,No,Female,Hybrid,Herding,No
28927,Transfer,0,1,No,midday,Sunday,No,Male,Mixed,Sporting,Yes
2195,Adoption,0,2,Yes,night,Tuesday,No,Female,Mixed,Herding,Yes
31512,Transfer,0,0,Yes,midday,Sunday,No,Male,Mixed,Terrier,Yes
25439,Adoption,0,0,Yes,night,Saturday,No,Male,Mixed,Toy,No
22929,Return to Owner,1,1,Yes,lateday,Saturday,No,Female,Mixed,PitBull,Yes
3127,Transfer,0,2,No,lateday,Thursday,Yes,Male,Hybrid,Herding,No
15552,Return to Owner,1,1,Yes,midday,Friday,No,Female,Mixed,Sporting,Yes
7258,Transfer,0,2,Yes,midday,Thursday,Yes,Female,Hybrid,Herding,Yes
27157,Adoption,1,0,Yes,lateday,Sunday,No,Male,Mixed,Hound,No
27455,Adoption,0,0,Yes,midday,Tuesday,No,Female,Hybrid,Toy,No
10571,Transfer,1,2,No,midday,Wednesday,Yes,Female,Hybrid,Herding,Yes
14546,Adoption,0,1,No,lateday,Monday,No,Female,Mixed,Terrier,No
17772,Adoption,0,0,No,morning,Sunday,No,Female,Mixed,Toy,Yes
17128,Transfer,1,1,Yes,midday,Wednesday,Yes,Female,Hybrid,Sporting,Yes
25232,Adoption,1,1,Yes,midday,Saturday,No,Male,Mixed,PitBull,No
17000,Return to Owner,1,0,No,morning,Saturday,No,Female,Mixed,Toy,No
975,Adoption,0,1,Yes,lateday,Friday,No,Male,Hybrid,Herding,Yes
6929,Adoption,0,0,Yes,lateday,Saturday,No,Male,Hybrid,Terrier,Yes
31566,Euthanasia,2,1,Yes,morning,Tuesday,No,Female,Mixed,PitBull,No
23325,Adoption,1,0,Yes,lateday,Saturday,No,Female,Mixed,Toy,No
10947,Euthanasia,1,1,Yes,lateday,Tuesday,No,Female,Mixed,Sporting,No
6331,Euthanasia,2,1,Yes,lateday,Sunday,No,Female,Mixed,Working,Yes
16294,Return to Owner,1,1,Yes,lateday,Wednesday,No,Female,Pure,PitBull,Yes
23166,Adoption,0,1,Yes,lateday,Sunday,No,Male,Hybrid,Herding,Yes
25008,Adoption,2,0,Yes,lateday,Friday,No,Female,Mixed,Toy,No
15446,Adoption,0,1,Yes,lateday,Monday,No,Female,Mixed,PitBull,Yes
10209,Adoption,0,1,Yes,midday,Friday,No,Male,Hybrid,Herding,Yes
6941,Adoption,0,2,Yes,lateday,Saturday,No,Male,Hybrid,Herding,Yes
10259,Adoption,1,1,Yes,lateday,Saturday,No,Female,Mixed,PitBull,Yes
1995,Adoption,2,1,Yes,lateday,Monday,No,Male,Hybrid,PitBull,Yes
4724,Return to Owner,1,1,Yes,midday,Sunday,No,Female,Mixed,NonSporting,No
4544,Adoption,1,0,Yes,lateday,Monday,No,Female,Hybrid,Toy,Yes
24643,Return to Owner,0,1,Yes,midday,Sunday,No,Female,Mixed,PitBull,Yes
3717,Adoption,1,2,Yes,lateday,Saturday,No,Male,Mixed,Herding,Yes
24871,Return to Owner,2,0,Yes,lateday,Sunday,No,Male,Mixed,NonSporting,Yes
29243,Adoption,1,1,Yes,lateday,Tuesday,No,Male,Mixed,Sporting,No
1151,Adoption,1,1,Yes,lateday,Thursday,No,Male,Mixed,NonSporting,No
906,Adoption,0,2,Yes,lateday,Wednesday,No,Male,Mixed,Herding,Yes
